relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit,block_number
manifold,4891776,0x546e3358ae6c70f39f5cd9669bd14729264a2e12c883a160fae0c4505e1251d3,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,52893073583596574,29904135,30000000,15727689
manifold,4891732,0xa2cbf0b0e1ff3cf438e04593f10aeefb21bb5fe88e9306da42eb4fb004c12527,0x8eb772d96a747ba63af7acdf92dc775a859f76a77e4c6ed124dca6360e74e4e798a75a925eb8fd0dde866317fff18ad0,24809694675577424,7348272,30000000,15727645
manifold,4891682,0x1c8a3f1eebbdeb9015562b7e19f02caf8daf6da01941952730f3c46594f2f00a,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,31491465026817102,10673052,30000000,15727596
manifold,4891645,0x49f1a7f99cd039dc8c85cc4bbf3f8d12d9f569bb41b36a856f235cf2fd809f2a,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,149299282587936878,26291794,30000000,15727559
manifold,4891612,0x8d8dfb4ed316537ddd934ffd1006965395d5a12c82d82165d3d1ee9207816f04,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,137543831394497057,20003228,30000000,15727526
manifold,4891607,0x06461b2981e70ccf69b8b72080ac5cd8b2621d215038e8660c0a6c19461022d6,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,105028394537286543,29987980,30000000,15727521
manifold,4891602,0x4f65c77b101e5028b5aca020a11724a68b5a23caa9dfe562edbd685dfe6a612a,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,34512018654836371,14112801,30000000,15727516
manifold,4891525,0x1f4bb65d895c57a3fe8021cd99c5589279390349201463412aca3509a0a8cc05,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,100017315176285433,26321034,30000000,15727440
manifold,4891480,0x0ac0dedc007a5a4057715ca195aa6dd8a43f7f42cc15c5a2f70c523b0aca9a65,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,106354968012378084,25866139,30000000,15727395
manifold,4891464,0xc2d5e234f4b535c785b3bfaf84a8ed638174bf1ad83fbfdab6f7100d297c366d,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,32984130404376018,18649464,30000000,15727379
manifold,4891386,0xf908ae68d6ecc719d950680155bbd5d6f249663d939d18362efd2c5ee85323e6,0x8eb772d96a747ba63af7acdf92dc775a859f76a77e4c6ed124dca6360e74e4e798a75a925eb8fd0dde866317fff18ad0,21704285436828127,9805848,30000000,15727301
manifold,4891370,0x0f1abc4c73ba6ac1db20ee81f8586a9f10f3e1d0d83fb2fde2e0d09b0e44020c,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,25366760282511827,11685057,30000000,15727285
manifold,4891323,0x8cceebfeeca31e1d06b0b87caae837624eb9d74273ec0d99209c6cc6f6d3eda0,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,28988467060016411,10560598,30000000,15727238
manifold,4891311,0x0a25b7eabd1ef32ed6feb458c23f6eed4f5ba350393753709780f32155662bc5,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,24953803831118718,12372465,30000000,15727226
manifold,4891288,0x7b952d52338ae1315804a1d69334d92522395c753a22df414803ec58bba672da,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,29126020017265401,11546764,30000000,15727203
manifold,4891279,0xaf0c290a2a7289aa983a814af928fc5e5463748c92591ddf9aed8fb4b9320bc3,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,82901857706332836,29990836,30000000,15727194
